Source,Target,Interaction,Taxid interactor A,Taxid interactor B
CCL4,CCL20,pp,Homo sapiens,Homo sapiens
CCL4,CCL4,pp,Homo sapiens,Homo sapiens
CCL4,CXCL10,pp,Homo sapiens,Homo sapiens
CCL4,CSF2,pp,Homo sapiens,Homo sapiens
CCL4,CSF3,pp,Homo sapiens,Homo sapiens
CCL4,CX3CL1,pp,Homo sapiens,Homo sapiens
CCL4,IL1A,pp,Homo sapiens,Homo sapiens
CCL4,IL1B,pp,Homo sapiens,Homo sapiens
CCL4,CXCL8,pp,Homo sapiens,Homo sapiens
CCL4,CCL5,pp,Homo sapiens,Homo sapiens
CCL4,CXCL11,pp,Homo sapiens,Homo sapiens
CCL4,CXCL1,pp,Homo sapiens,Homo sapiens
CCL4,TNF,pp,Homo sapiens,Homo sapiens
CSF2,CSF2,pp,Homo sapiens,Homo sapiens
CSF2,CXCL10,pp,Homo sapiens,Homo sapiens
CSF2,CCL5,pp,Homo sapiens,Homo sapiens
CSF2,CX3CL1,pp,Homo sapiens,Homo sapiens
CSF2,CXCL1,pp,Homo sapiens,Homo sapiens
CSF2,STAT5A,pp,Homo sapiens,Homo sapiens
CSF2,CSF1,pp,Homo sapiens,Homo sapiens
CSF2,TNF,pp,Homo sapiens,Homo sapiens
CSF2,CXCL8,pp,Homo sapiens,Homo sapiens
CSF2,CSF3,pp,Homo sapiens,Homo sapiens
CSF2,IL1A,pp,Homo sapiens,Homo sapiens
CSF2,CCL2,pp,Homo sapiens,Homo sapiens
CSF2,CCL4,pp,Homo sapiens,Homo sapiens
CSF2,IL1B,pp,Homo sapiens,Homo sapiens
CSF3,CSF2,pp,Homo sapiens,Homo sapiens
CSF3,CSF3,pp,Homo sapiens,Homo sapiens
CSF3,CCL4,pp,Homo sapiens,Homo sapiens
CSF3,IL1B,pp,Homo sapiens,Homo sapiens
CSF3,CCL5,pp,Homo sapiens,Homo sapiens
CSF3,CX3CL1,pp,Homo sapiens,Homo sapiens
CSF3,CCL2,pp,Homo sapiens,Homo sapiens
CSF3,CSF1,pp,Homo sapiens,Homo sapiens
CSF3,TNF,pp,Homo sapiens,Homo sapiens
CSF3,CXCL1,pp,Homo sapiens,Homo sapiens
CSF3,CXCL8,pp,Homo sapiens,Homo sapiens
CSF3,IL1A,pp,Homo sapiens,Homo sapiens
CSF3,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL8,CCL4,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL8,CSF2,pp,Homo sapiens,Homo sapiens
CXCL8,CCL22,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL8,CSF3,pp,Homo sapiens,Homo sapiens
CXCL8,CCL2,pp,Homo sapiens,Homo sapiens
CXCL8,IL1A,pp,Homo sapiens,Homo sapiens
CXCL8,IL1B,pp,Homo sapiens,Homo sapiens
CXCL8,ICAM1,pp,Homo sapiens,Homo sapiens
